cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PP;PSdeG-PSOE;BNG;EU-V;UPyD;EQUO;PACMA;PUM+J;P.C.P.E.;C.XXI;UCE;SAIn;PH
15;"A Coruña";1;Abegondo;1;2;B;365;258;4;2;165;49;28;5;0;1;2;0;0;0;1;0;1
15;"A Coruña";1;Abegondo;2;2;A;432;296;2;4;200;63;12;12;1;0;2;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;1;A;390;301;2;3;177;76;33;2;4;1;1;1;0;1;0;0;0
15;"A Coruña";2;Ames;1;3;A;211;172;3;9;74;58;24;0;0;1;3;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;2;A;410;302;4;5;166;68;32;15;8;1;2;0;0;0;0;0;1
15;"A Coruña";2;Ames;2;2;B;669;503;8;12;227;140;74;22;6;8;3;0;0;2;0;1;0
15;"A Coruña";2;Ames;3;2;U;814;570;20;9;276;137;80;28;5;10;2;0;1;0;0;1;1
15;"A Coruña";2;Ames;3;4;B;540;390;5;9;207;104;33;15;6;6;1;2;0;0;0;0;2
15;"A Coruña";2;Ames;3;7;A;591;430;5;11;189;112;58;28;11;8;3;2;0;0;0;2;1
15;"A Coruña";2;Ames;3;7;B;564;430;14;11;170;108;79;19;14;10;2;1;0;0;0;2;0
15;"A Coruña";2;Ames;3;8;A;634;419;6;2;167;110;77;27;19;9;1;0;0;0;0;1;0
15;"A Coruña";2;Ames;3;9;A;898;608;13;15;259;172;89;40;12;3;1;1;2;0;0;0;1
15;"A Coruña";1;Abegondo;1;2;A;317;249;9;10;138;60;22;3;1;0;2;1;0;0;0;0;3
15;"A Coruña";1;Abegondo;2;1;U;656;460;2;3;246;117;65;16;4;0;3;1;0;0;1;0;2
15;"A Coruña";1;Abegondo;2;2;B;315;224;9;7;128;36;34;7;0;2;0;0;0;1;0;0;0
15;"A Coruña";1;Abegondo;3;1;B;466;325;6;4;168;83;47;10;1;3;1;1;0;0;1;0;0
15;"A Coruña";1;Abegondo;3;2;U;815;607;14;9;338;147;35;36;10;10;5;1;0;1;0;1;0
15;"A Coruña";2;Ames;1;3;B;306;243;3;4;178;42;5;10;1;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;2;C;296;217;1;2;149;41;18;3;1;1;0;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;1;A;993;732;23;10;407;153;77;34;16;6;2;0;0;3;1;0;0
15;"A Coruña";2;Ames;3;4;A;356;266;2;7;136;50;42;14;7;4;0;0;0;0;1;3;0
15;"A Coruña";2;Ames;3;4;C;516;389;7;3;200;98;49;17;6;2;1;2;1;2;0;0;1
15;"A Coruña";2;Ames;3;8;B;731;525;12;9;210;146;80;37;18;7;3;0;0;0;0;3;0
15;"A Coruña";2;Ames;3;9;B;852;580;8;14;239;184;73;34;15;8;2;2;0;0;0;0;1
15;"A Coruña";2;Ames;3;12;B;695;493;6;8;247;111;71;29;8;8;1;2;0;0;1;1;0
15;"A Coruña";2;Ames;3;13;A;718;473;11;3;214;138;57;19;16;8;4;0;0;0;0;2;1
15;"A Coruña";2;Ames;3;15;A;592;380;7;6;149;112;51;34;12;7;0;1;0;1;0;0;0
15;"A Coruña";2;Ames;3;15;B;545;391;6;3;172;104;58;30;9;5;2;0;1;0;0;0;1
15;"A Coruña";2;Ames;3;16;A;561;379;12;6;186;105;36;19;1;8;3;2;0;0;1;0;0
15;"A Coruña";2;Ames;3;16;B;467;317;8;5;122;91;49;25;8;3;2;3;0;0;1;0;0
15;"A Coruña";2;Ames;3;11;B;528;378;13;2;137;125;46;34;11;7;1;2;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;A;217;153;3;2;110;26;10;1;1;0;0;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;C;408;284;4;2;197;51;25;3;0;2;0;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;A;400;291;6;6;194;65;9;6;3;0;1;0;0;0;0;1;0
15;"A Coruña";3;Aranga;1;2;B;233;192;1;2;133;44;6;6;0;0;0;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;C;412;284;2;2;170;74;28;1;3;0;2;0;1;0;1;0;0
15;"A Coruña";4;Ares;1;1;B;499;388;4;10;208;107;31;19;2;1;2;0;0;1;1;0;2
15;"A Coruña";4;Ares;2;1;U;720;509;1;7;198;172;83;36;6;5;0;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;2;U;994;662;22;6;329;186;77;22;5;3;4;2;0;2;3;0;1
15;"A Coruña";5;Arteixo;1;4;A;708;381;3;7;180;113;46;19;7;2;3;0;0;0;1;0;0
15;"A Coruña";5;Arteixo;1;5;U;988;662;11;11;386;155;42;37;14;3;1;0;2;0;0;0;0
15;"A Coruña";5;Arteixo;1;6;A;743;465;14;8;237;116;43;30;10;2;2;2;0;0;0;0;1
15;"A Coruña";5;Arteixo;1;7;A;922;580;12;9;269;145;88;33;8;0;8;2;2;0;1;0;3
15;"A Coruña";5;Arteixo;1;8;B;730;473;13;5;224;113;61;36;4;5;7;3;1;0;0;0;1
15;"A Coruña";5;Arteixo;1;9;A;654;409;8;10;231;80;43;21;8;3;1;1;2;0;0;0;1
15;"A Coruña";5;Arteixo;1;10;U;862;561;6;11;275;158;57;28;11;5;4;3;0;0;1;1;1
15;"A Coruña";5;Arteixo;1;11;A;534;317;14;1;156;82;36;18;5;3;0;0;1;0;1;0;0
15;"A Coruña";5;Arteixo;1;11;B;476;289;5;3;128;97;35;14;1;1;4;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;2;1;A;687;473;10;6;270;117;53;12;4;0;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;2;B;675;430;12;6;205;118;58;19;6;4;0;0;2;0;0;0;0
15;"A Coruña";5;Arteixo;3;1;A;699;456;10;3;249;125;47;15;3;1;0;1;0;0;1;0;1
15;"A Coruña";5;Arteixo;4;1;A;652;407;10;6;179;122;54;21;5;2;5;1;1;0;1;0;0
15;"A Coruña";5;Arteixo;4;2;B;818;517;15;11;229;173;51;23;8;3;1;0;1;0;2;0;0
15;"A Coruña";3;Aranga;1;1;B;266;196;3;4;150;22;11;5;1;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;1;A;911;541;21;13;264;147;59;19;11;0;4;0;0;2;0;0;1
15;"A Coruña";5;Arteixo;1;3;A;547;356;9;8;195;84;31;20;1;0;4;1;1;0;2;0;0
15;"A Coruña";5;Arteixo;1;4;B;765;438;8;7;186;137;61;31;5;0;0;1;1;0;0;0;1
15;"A Coruña";5;Arteixo;1;6;B;598;386;11;6;165;119;58;17;3;1;1;3;1;0;1;0;0
15;"A Coruña";5;Arteixo;1;7;B;919;615;17;6;287;159;95;29;9;4;4;0;2;0;2;0;1
15;"A Coruña";5;Arteixo;3;1;B;585;362;7;10;197;99;31;11;2;2;1;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;1;B;759;474;7;7;221;128;75;22;6;0;2;0;4;0;1;0;1
15;"A Coruña";5;Arteixo;4;2;A;748;428;9;6;203;142;38;20;6;0;2;0;0;0;0;0;2
15;"A Coruña";5;Arteixo;4;4;B;703;439;6;7;190;140;63;17;6;3;5;0;1;0;1;0;0
15;"A Coruña";6;Arzúa;1;2;U;552;416;8;6;243;79;75;3;0;1;0;1;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;4;U;582;401;2;4;249;88;47;8;0;0;1;0;1;0;0;1;0
15;"A Coruña";6;Arzúa;1;7;B;495;358;4;5;186;93;48;17;2;2;0;0;1;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;B;240;173;2;0;94;61;9;2;2;1;1;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;A;292;214;0;0;161;34;18;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;B;703;523;1;5;319;141;50;4;0;1;1;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;A;430;332;1;3;181;115;29;3;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;B;322;213;1;1;145;47;15;3;0;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;1;B;354;267;0;3;144;77;22;13;1;3;1;3;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;2;U;753;571;13;9;284;154;76;20;5;4;4;1;1;0;0;0;0
15;"A Coruña";5;Arteixo;4;3;A;594;373;14;4;189;93;35;21;4;2;4;0;2;0;1;0;4
15;"A Coruña";6;Arzúa;1;3;U;745;511;4;6;298;117;73;7;2;0;1;2;1;0;0;0;0
15;"A Coruña";6;Arzúa;1;5;U;695;480;3;6;308;94;66;2;0;0;0;0;1;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;A;555;403;6;2;262;101;25;5;1;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;2;1;B;591;425;2;8;227;115;52;12;1;6;1;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;A;626;461;8;4;240;148;35;10;10;2;2;0;0;0;1;0;1
15;"A Coruña";9;Betanzos;1;5;B;782;569;11;10;322;138;47;24;7;4;2;2;1;0;1;0;0
15;"A Coruña";9;Betanzos;1;6;A;761;568;14;15;282;157;58;26;9;3;2;1;0;0;0;0;1
15;"A Coruña";9;Betanzos;1;7;A;946;701;10;13;352;197;101;13;9;1;4;0;0;0;0;1;0
15;"A Coruña";9;Betanzos;1;10;B;458;345;5;9;137;134;30;17;4;3;3;0;2;0;0;1;0
15;"A Coruña";9;Betanzos;1;10;D;232;169;0;1;67;77;9;10;0;1;1;1;0;0;1;0;1
15;"A Coruña";9;Betanzos;1;12;A;508;379;3;2;194;110;50;12;3;5;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;12;B;519;386;6;16;197;82;50;18;8;5;1;1;0;0;0;1;1
15;"A Coruña";11;Boiro;1;2;A;898;624;6;11;330;139;90;32;6;4;4;1;1;0;0;0;0
15;"A Coruña";11;Boiro;1;2;B;998;676;6;12;355;157;107;18;7;4;3;2;1;1;0;0;3
15;"A Coruña";11;Boiro;1;3;A;700;493;6;9;250;113;71;19;5;5;8;0;3;0;1;2;1
15;"A Coruña";11;Boiro;1;7;A;770;579;5;10;292;133;116;13;5;0;1;2;1;0;1;0;0
15;"A Coruña";11;Boiro;1;8;B;513;344;8;5;193;68;49;13;4;1;0;2;1;0;0;0;0
15;"A Coruña";11;Boiro;2;1;U;846;613;4;14;361;155;57;16;3;0;1;1;0;0;0;1;0
