cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PP;PODEMOS-En;PSdeG-PSOE;C's;N?S;PACMA;UPYD;"RECORTES CE";PCPE;PT;VOX;"X LA IZQUIE";SAIn
15;"A Coruña";1;Abegondo;3;2;U;810;621;8;8;229;160;95;81;23;9;1;1;3;1;1;0;1
15;"A Coruña";2;Ames;1;3;B;294;210;4;4;125;19;29;21;5;1;1;0;1;0;0;0;0
15;"A Coruña";2;Ames;2;1;U;751;560;6;7;195;140;114;71;18;6;0;0;1;0;2;0;0
15;"A Coruña";2;Ames;2;2;B;720;518;6;1;170;146;106;42;40;4;1;0;0;0;2;0;0
15;"A Coruña";2;Ames;3;2;U;909;638;8;6;156;219;100;101;31;8;3;2;2;0;2;0;1
15;"A Coruña";2;Ames;3;6;U;799;590;7;6;142;209;96;71;43;4;9;1;1;0;1;0;0
15;"A Coruña";2;Ames;3;7;A;629;485;5;5;114;192;72;68;16;3;5;1;0;0;1;0;3
15;"A Coruña";2;Ames;3;7;B;585;459;4;6;105;180;55;65;30;6;4;2;0;0;1;0;1
15;"A Coruña";2;Ames;3;9;A;923;635;6;11;156;221;118;79;30;4;3;3;0;2;2;0;0
15;"A Coruña";2;Ames;3;12;A;823;572;5;7;147;206;94;79;17;4;3;3;3;2;2;0;0
15;"A Coruña";2;Ames;3;13;B;679;490;11;7;128;148;105;68;13;5;2;1;1;0;1;0;0
15;"A Coruña";2;Ames;3;14;U;798;614;11;7;92;246;97;106;39;3;8;1;1;1;1;0;1
15;"A Coruña";2;Ames;3;15;B;620;440;2;5;94;149;89;65;23;7;1;1;2;2;0;0;0
15;"A Coruña";3;Aranga;1;1;C;392;272;3;3;131;53;59;14;7;2;0;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;B;215;159;1;4;89;14;42;8;1;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;2;A;747;552;8;5;200;127;94;63;50;1;0;1;0;1;4;0;0
15;"A Coruña";4;Ares;1;3;B;620;451;0;15;135;134;94;33;32;1;0;4;0;3;1;0;0
15;"A Coruña";4;Ares;2;1;U;679;492;6;2;150;134;125;38;30;3;0;0;2;0;2;0;0
15;"A Coruña";5;Arteixo;1;1;A;684;454;3;4;138;140;90;52;18;4;0;1;0;2;1;0;1
15;"A Coruña";5;Arteixo;1;3;A;588;426;9;17;124;130;64;55;15;4;3;0;0;3;1;0;1
15;"A Coruña";5;Arteixo;1;3;B;552;389;8;5;87;143;73;54;9;4;2;0;0;3;0;0;1
15;"A Coruña";5;Arteixo;1;4;A;677;420;4;7;86;161;80;54;17;5;2;0;1;2;1;0;0
15;"A Coruña";5;Arteixo;1;4;B;745;480;10;7;119;185;99;38;7;6;3;1;1;0;4;0;0
15;"A Coruña";5;Arteixo;1;5;B;508;348;3;3;152;65;74;37;4;2;4;1;0;1;1;0;1
15;"A Coruña";5;Arteixo;1;10;B;506;365;1;8;92;135;58;48;14;3;0;1;2;3;0;0;0
15;"A Coruña";5;Arteixo;1;11;B;494;339;3;4;84;122;68;40;5;6;5;0;0;2;0;0;0
15;"A Coruña";5;Arteixo;2;2;B;663;463;8;4;144;129;103;48;15;9;2;0;0;0;1;0;0
15;"A Coruña";5;Arteixo;3;1;B;564;371;3;11;137;71;100;28;12;6;1;0;2;0;0;0;0
15;"A Coruña";5;Arteixo;4;1;A;659;446;4;2;115;166;80;40;28;7;0;3;0;1;0;0;0
15;"A Coruña";5;Arteixo;4;3;A;629;429;12;7;116;118;91;51;15;4;6;3;0;4;2;0;0
15;"A Coruña";5;Arteixo;4;3;B;656;458;3;4;150;129;100;47;9;7;3;0;2;1;2;0;1
15;"A Coruña";6;Arzúa;1;2;B;502;299;4;2;142;33;66;18;26;1;0;0;1;2;3;0;1
15;"A Coruña";6;Arzúa;1;7;A;492;318;4;3;132;64;64;22;25;1;1;2;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;B;200;150;0;1;61;21;58;6;4;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;A;259;186;3;3;112;18;33;7;6;0;3;0;1;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;C;206;160;1;0;73;12;61;9;2;1;1;0;0;0;0;0;0
