cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSdeG-PSOE;PP;PODEMOS-EU-;Cs;BNG;VOX;"EN MAREA";PACMA;"RECORTES CE";CxG;PCOE;PCTG;EB;VOU;PUM+J;"C 21"
15;"A Coruña";1;Abegondo;1;1;U;757;533;7;13;129;176;49;74;28;41;7;4;1;0;0;4;0;0;0;0
15;"A Coruña";1;Abegondo;2;1;U;601;449;3;2;150;153;48;34;31;23;2;1;0;1;1;0;0;0;0;0
15;"A Coruña";1;Abegondo;2;2;A;343;236;6;2;67;98;13;28;6;6;1;0;1;4;3;1;0;0;0;0
15;"A Coruña";1;Abegondo;2;2;B;272;203;4;3;42;76;19;23;19;11;3;2;0;1;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;1;A;841;612;11;18;165;195;76;74;28;33;3;2;1;2;4;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;2;U;806;611;12;9;164;172;87;85;32;31;2;11;0;1;3;2;0;0;0;0
15;"A Coruña";2;Ames;2;1;U;796;566;4;7;156;136;80;70;47;39;9;11;1;0;5;1;0;0;0;0
15;"A Coruña";2;Ames;2;2;A;384;279;8;4;80;97;34;27;10;10;2;4;1;2;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;2;B;726;478;7;2;152;114;79;38;52;22;7;4;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;1;A;612;470;2;4;135;126;51;66;30;40;7;8;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;1;B;692;551;7;5;144;156;62;80;39;30;14;7;2;2;3;0;0;0;0;0
15;"A Coruña";2;Ames;3;3;B;517;422;2;6;117;97;62;77;22;22;9;5;1;1;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;9;A;950;681;6;11;234;114;105;102;55;36;9;5;2;0;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;9;B;958;693;9;8;258;100;118;92;49;37;4;11;2;4;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;11;B;621;476;1;9;150;71;93;71;32;26;12;6;0;4;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;13;A;824;608;5;8;191;100;105;103;34;39;4;15;2;2;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;14;U;844;664;10;6;203;62;138;121;65;40;11;5;3;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;15;A;683;492;8;8;153;57;104;64;33;33;15;9;3;3;1;1;0;0;0;0
15;"A Coruña";2;Ames;3;15;B;634;459;5;13;134;85;95;71;32;17;2;4;0;1;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;16;A;642;477;10;11;130;89;78;77;27;37;5;7;2;1;3;0;0;0;0;0
15;"A Coruña";2;Ames;3;16;B;509;378;11;6;102;53;62;62;34;31;3;11;0;0;3;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;A;197;133;1;0;30;70;15;6;7;2;1;0;0;0;1;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;A;341;247;1;7;65;97;20;23;9;23;0;1;0;0;1;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;C;380;276;3;9;106;101;11;13;20;10;1;1;0;1;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;1;U;917;748;3;21;241;192;96;77;51;49;9;4;1;1;3;0;0;0;0;0
15;"A Coruña";4;Ares;1;2;B;689;526;7;5;179;118;97;58;28;24;3;5;1;1;0;0;0;0;0;0
15;"A Coruña";4;Ares;2;1;U;675;514;3;6;191;106;95;44;40;23;2;2;0;0;1;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;1;A;701;500;10;11;169;88;100;59;15;31;4;8;1;2;1;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;1;C;600;435;9;8;123;70;103;51;23;33;4;10;0;0;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;3;A;625;436;9;18;119;88;80;57;19;29;4;8;1;0;2;2;0;0;0;0
15;"A Coruña";5;Arteixo;1;3;B;565;386;4;7;115;51;92;47;19;31;7;9;0;0;1;3;0;0;0;0
15;"A Coruña";5;Arteixo;1;4;A;669;442;4;6;137;63;107;47;26;31;8;7;1;0;3;2;0;0;0;0
15;"A Coruña";5;Arteixo;1;5;A;509;385;4;4;101;107;54;52;15;37;2;7;0;0;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;5;B;505;379;3;2;117;101;40;49;16;39;2;7;0;0;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;6;A;714;473;16;6;140;66;114;65;21;26;7;7;1;0;3;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;7;B;957;674;13;10;232;123;102;87;41;47;3;9;4;1;1;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;8;A;780;536;6;8;167;96;109;88;26;24;4;6;0;0;1;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;9;A;673;451;8;2;113;89;95;65;29;30;4;9;1;4;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;11;B;506;346;5;11;108;43;80;53;19;20;1;2;1;0;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;2;1;B;471;344;6;8;119;112;36;30;16;9;4;3;0;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;3;1;B;580;392;7;8;111;112;43;54;21;22;0;11;2;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;1;A;720;512;6;13;170;66;111;72;21;33;9;9;0;0;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;2;B;838;609;4;10;210;122;108;72;31;34;1;6;5;3;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;4;3;A;636;429;7;4;126;86;78;68;18;28;1;9;1;0;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;4;3;C;409;292;1;6;133;53;42;23;13;13;1;4;0;2;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;4;B;699;495;4;5;171;102;90;62;25;20;6;4;3;1;2;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;1;B;619;462;5;10;129;152;40;57;40;13;10;4;0;0;1;1;0;0;0;0
15;"A Coruña";6;Arzúa;1;2;A;505;371;3;12;121;122;28;20;37;11;13;1;0;1;2;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;2;B;488;303;4;11;91;112;16;20;23;14;2;0;0;9;1;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;3;U;658;429;1;13;136;162;29;33;28;18;6;2;1;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;4;U;491;315;3;7;92;118;33;21;20;20;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;5;U;607;394;4;5;108;186;29;20;23;14;1;1;2;1;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;A;498;323;5;7;88;93;28;37;48;7;6;1;0;3;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;B;570;382;3;12;109;116;38;28;50;19;3;0;1;2;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;A;486;373;9;3;121;138;25;30;22;17;2;1;0;5;0;0;0;0;0;0
