cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PP;PSdeG-PSOE;PODEMOS-EU;BNG;VOX;Cs;"M?S PA?S-EQ";PACMA;"RECORTES CERO-GV";PCOE;PUM+J;PCTG;EB;"C 21"
15;"A Coruña";1;Abegondo;2;2;B;278;188;3;6;73;42;11;21;15;6;5;1;0;2;1;2;0;0
15;"A Coruña";1;Abegondo;3;1;B;441;270;4;1;85;76;32;25;27;13;5;1;0;0;1;0;0;0
15;"A Coruña";1;Abegondo;3;2;U;812;557;13;8;195;133;69;36;57;27;10;7;0;0;0;2;0;0
15;"A Coruña";2;Ames;1;1;B;354;238;1;3;103;60;9;27;19;14;2;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;3;B;281;195;3;3;65;51;12;22;24;10;4;1;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;1;U;795;525;7;8;176;141;66;55;35;24;8;5;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;2;A;378;253;6;2;92;73;30;18;16;11;2;0;1;2;0;0;0;0
15;"A Coruña";2;Ames;2;2;B;735;436;0;3;116;144;48;66;21;22;13;3;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;1;A;608;421;6;3;139;111;31;42;36;31;16;4;0;2;0;0;0;0
15;"A Coruña";2;Ames;3;1;B;701;516;4;2;181;141;59;45;41;28;8;4;1;1;0;1;0;0
15;"A Coruña";2;Ames;3;2;U;954;616;2;8;137;166;81;93;73;28;22;3;0;2;0;1;0;0
15;"A Coruña";2;Ames;3;4;A;452;312;3;0;114;83;33;35;21;17;3;2;0;1;0;0;0;0
15;"A Coruña";2;Ames;3;4;B;916;645;5;3;216;187;72;54;54;35;10;6;1;0;2;0;0;0
15;"A Coruña";2;Ames;3;5;A;840;585;8;11;147;157;86;58;45;44;24;2;0;1;2;0;0;0
15;"A Coruña";2;Ames;3;8;B;897;611;5;10;126;183;84;76;64;35;19;7;1;0;0;1;0;0
15;"A Coruña";2;Ames;3;9;A;966;609;15;9;139;190;90;62;47;30;14;6;4;1;2;0;0;0
15;"A Coruña";2;Ames;3;9;B;951;623;12;7;129;198;84;72;53;39;20;5;2;1;1;0;0;0
15;"A Coruña";2;Ames;3;12;B;807;551;8;6;127;141;93;50;63;41;13;5;2;1;1;0;0;0
15;"A Coruña";2;Ames;3;13;A;822;536;3;6;120;145;79;60;60;42;14;7;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;13;B;740;509;4;4;113;150;79;51;51;40;10;4;1;2;0;0;0;0
15;"A Coruña";2;Ames;3;15;A;687;440;8;5;72;142;78;50;38;21;15;7;2;1;1;0;0;0
15;"A Coruña";2;Ames;3;16;B;519;330;7;3;74;84;59;32;29;33;5;4;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;B;220;135;1;1;73;29;5;17;5;3;0;1;0;0;0;0;0;0
