cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;P.P.;PSOE;AGE;PODEMOS;BNG;UPyD;C's;PACMA;CxG;EB;VOX;"MOVIMIENTO RED";"PRIMAVERA EUROPEA";"PARTIDO X";PIRATAS;"RECORTES CERO";P.C.P.E.;PT;"DISCAPACITADOS Y ENFERMEDADES RARAS";I.Fem;F.A.C.;CILUS;PH;EPDD;"FE de las JONS";ALTER;RRUE;ImpulsoSocial;D.N.;P-LIB;LEM;SAIn;M.S.R.;ACNV-BAR-PRAO-R.E.P.O-UNIO;M.C.R.;PREPAL;"EXTREMADURA UNIDA";IPEX-PREX-CREX;"PARTIDO ANDALUCISTA"
15;"A Coruña";1;Abegondo;1;1;U;764;365;22;7;150;52;29;28;25;22;0;2;4;2;7;0;0;3;1;0;1;2;2;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0
15;"A Coruña";1;Abegondo;2;1;U;643;276;4;5;112;67;23;10;23;4;0;0;5;2;3;3;1;1;1;3;1;0;1;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
15;"A Coruña";1;Abegondo;2;2;B;296;120;4;0;47;21;7;9;13;3;1;0;3;1;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0
15;"A Coruña";1;Abegondo;3;1;A;841;343;15;8;150;67;19;32;15;12;4;1;0;0;4;2;2;4;0;3;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;2;U;791;343;17;9;108;39;42;24;17;22;11;4;5;7;11;4;5;3;1;2;1;0;0;1;0;0;3;0;0;1;0;1;1;2;1;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;1;A;369;146;2;0;68;40;17;4;9;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;1;B;396;160;3;2;78;38;8;4;16;2;0;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
15;"A Coruña";2;Ames;1;3;A;207;109;1;0;34;40;10;5;10;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;3;C;290;139;2;5;60;32;15;5;4;5;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";2;Ames;2;1;U;701;274;9;11;73;46;33;21;23;22;7;3;9;2;1;2;5;2;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;2;A;398;157;2;4;62;23;24;4;8;9;0;0;3;5;2;2;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0
15;"A Coruña";2;Ames;2;2;B;706;305;6;6;63;46;73;33;32;10;3;3;1;6;6;1;7;1;0;0;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;1;A;594;275;14;10;110;38;30;18;16;7;7;3;3;2;2;1;3;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
15;"A Coruña";2;Ames;3;1;B;665;310;9;11;109;56;47;17;13;17;4;3;8;2;2;0;1;1;0;0;0;1;2;0;2;0;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;2;U;851;324;12;12;58;37;59;23;29;21;16;8;6;10;7;2;6;2;1;3;2;1;1;0;0;0;0;2;2;0;1;0;0;0;0;1;0;0;0;0;1;1;0
15;"A Coruña";2;Ames;3;3;U;968;414;11;10;113;77;52;29;33;34;16;1;10;3;2;3;0;4;3;0;2;0;4;1;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;4;A;369;166;10;1;50;20;41;10;6;7;8;2;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;4;B;1047;472;17;15;132;82;76;45;19;17;14;1;6;5;13;3;12;3;2;1;0;0;4;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;5;B;814;348;7;4;73;53;55;37;30;18;12;3;8;7;5;6;7;4;2;4;1;1;1;3;0;0;1;1;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0
15;"A Coruña";2;Ames;3;6;U;780;352;16;13;65;47;56;45;42;15;14;9;7;3;1;5;3;2;1;1;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
15;"A Coruña";2;Ames;3;7;B;584;257;5;4;50;30;44;24;28;17;17;1;9;1;5;1;7;4;3;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;8;B;795;358;9;12;63;64;62;37;32;26;12;7;5;2;5;4;2;2;2;3;3;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;9;A;912;377;15;9;74;72;68;38;22;25;11;7;3;6;1;3;7;3;2;4;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";2;Ames;3;9;B;889;372;10;15;59;76;51;64;34;5;9;5;5;2;3;9;8;4;2;2;0;1;0;0;2;0;2;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;10;U;661;401;12;10;68;66;73;60;25;30;6;0;6;6;14;4;7;0;1;1;1;2;1;2;0;0;0;0;0;0;0;1;0;2;0;0;1;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;11;U;1177;472;18;9;89;80;77;67;29;24;16;9;11;8;0;1;12;5;1;7;0;2;2;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;12;A;783;315;8;6;58;45;70;38;16;14;7;5;11;9;4;10;4;0;0;2;2;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;12;B;740;316;6;7;74;36;60;44;20;14;4;6;9;11;11;5;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
15;"A Coruña";2;Ames;3;13;A;730;317;12;9;58;50;48;39;17;24;8;6;4;13;0;3;1;2;0;7;0;2;4;0;0;0;3;0;0;2;0;0;1;0;1;2;1;0;0;0;0;0;0
