cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSOE;PP;"BNG-AGORA REP?BLICAS";PODEMOS-EU;Cs;VOX;PACMA;CPE;CxG;CV-EC;"RECORTES CERO-LV-GVE";PCPE-PCPC-PCPA;JUNTS;I.Fem;VOLT;PCTG;PACT;pirates.cat/ep;PUM+J;CXE;ALTER;PH;FAC;MCR;IZQP;IGRE;CONTIGO;SAIn;MIEL;AD?;AxS?;CEX-CREX-PREX
15;"A Coruña";1;Abegondo;1;2;B;338;217;4;0;77;86;21;7;9;5;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
15;"A Coruña";1;Abegondo;2;2;A;341;230;4;6;58;101;15;6;20;3;1;1;4;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
15;"A Coruña";1;Abegondo;3;1;A;837;574;7;14;164;256;40;35;32;13;4;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;2;U;805;537;10;4;155;199;48;31;41;13;9;4;3;2;0;0;3;0;1;0;0;0;1;0;3;7;0;3;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;1;1;B;361;227;1;1;63;87;33;9;10;7;4;0;1;3;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0
15;"A Coruña";2;Ames;1;3;A;495;324;10;5;119;110;30;10;11;7;9;3;5;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;"A Coruña";2;Ames;2;2;B;734;384;5;5;135;89;70;36;13;7;6;6;3;2;0;1;0;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;1;B;695;446;7;5;158;124;58;27;31;11;6;6;3;1;1;2;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;3;B;517;328;5;2;98;92;33;31;37;8;6;5;0;0;1;0;3;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
15;"A Coruña";2;Ames;3;5;B;887;524;8;5;166;98;77;56;59;20;11;4;10;2;2;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;1;2;A;291;211;2;2;63;86;21;11;17;3;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;1;B;438;292;3;2;71;96;39;32;23;9;3;6;0;1;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1
15;"A Coruña";2;Ames;1;1;A;332;189;0;1;68;85;16;8;2;6;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;2;U;949;510;11;7;173;96;71;45;40;21;10;15;6;5;2;0;1;2;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;3;A;501;309;0;3;85;86;43;35;38;6;5;1;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
15;"A Coruña";2;Ames;3;5;A;841;503;6;6;149;100;76;55;50;15;16;5;9;4;3;0;2;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
15;"A Coruña";2;Ames;3;7;A;706;446;8;3;128;71;84;59;51;16;6;6;2;3;0;0;2;1;0;0;2;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0
15;"A Coruña";2;Ames;3;10;U;712;507;2;1;164;100;71;57;65;11;15;2;2;10;1;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;"A Coruña";2;Ames;3;11;A;648;345;0;4;104;60;61;52;32;10;10;3;2;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;12;B;821;484;6;4;131;114;70;53;50;19;10;9;6;0;1;0;0;3;1;1;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;13;A;825;451;10;5;144;83;50;55;50;25;10;2;5;3;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;2;0;0;0;0
15;"A Coruña";2;Ames;3;14;U;854;503;12;3;162;63;99;69;48;16;7;8;5;3;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
